"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Dez/18";"Nov/18";"Out/18";"Set/18";"Ago/18";"Jul/18";"Jun/18";"Mai/18";"Abr/18";"Mar/18";"Fev/18";"Jan/18";"Competência";"Data de atualização"
"UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO (311944)";"Médico Hospitalar";"Pequeno";"122";"184";"   2,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,99";"   2,00";"   4,01";"   2,01";"   2,00";"201801";"16/01/2019 04:16:57"
"UNIMED REGIÃO DA CAMPANHA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (350648)";"Médico Hospitalar";"Pequeno";"123";"184";"   1,97";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,98";"   1,97";"   1,97";"201801";"16/01/2019 04:16:57"
"COMPANHIA DE ENGENHARIA DE TRAFEGO - CET (330051)";"Médico Hospitalar";"Pequeno";"124";"96";"   1,80";"   1,94";"   2,91";"   2,90";"   2,88";"   2,85";"   0,94";"   2,82";"   2,78";"   4,57";"   2,70";"   1,80";"201801";"16/01/2019 04:16:57"
"ASSOCIAÇÃO PADRE ALBINO SAÚDE (420158)";"Médico Hospitalar";"Pequeno";"125";"101";"   1,80";"   1,51";"   0,57";"   1,15";"   0,58";"   1,16";"   0,58";"   0,59";"0,00";"0,00";"   0,60";"   1,80";"201801";"16/01/2019 04:16:57"
"UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA (303178)";"Médico Hospitalar";"Pequeno";"126";"184";"   1,78";"0,00";"   1,18";"   1,19";"   1,80";"   1,21";"   1,21";"   1,20";"   2,96";"   2,96";"   2,37";"   1,78";"201801";"16/01/2019 04:16:57"
"UNIMED MURIAÉ COOPERATIVA DE TRABALHO MEDICO LTDA (368148)";"Médico Hospitalar";"Pequeno";"127";"184";"   1,77";"0,00";"   0,94";"   0,93";"   1,86";"   1,85";"   1,83";"   0,90";"   1,78";"   1,78";"   1,77";"   1,77";"201801";"16/01/2019 04:16:57"
"AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA (325465)";"Médico Hospitalar";"Pequeno";"128";"184";"   1,72";"0,00";"0,00";"   0,86";"   1,71";"   1,70";"   0,85";"0,00";"0,00";"0,00";"   0,86";"   1,72";"201801";"16/01/2019 04:16:57"
"CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE (320820)";"Médico Hospitalar";"Pequeno";"129";"181";"   1,72";"   0,50";"   0,50";"   0,50";"   1,02";"   1,03";"   0,52";"0,00";"0,00";"   0,55";"   0,56";"   1,72";"201801";"16/01/2019 04:16:57"
"ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA (418803)";"Médico Hospitalar";"Pequeno";"130";"134";"   1,70";"   1,12";"   1,11";"   1,66";"   0,55";"   0,54";"   0,54";"   0,55";"   1,11";"   0,57";"   0,57";"   1,70";"201801";"16/01/2019 04:16:57"
"UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO (348244)";"Médico Hospitalar";"Pequeno";"131";"170";"   1,68";"   0,58";"   1,16";"   1,71";"   1,69";"   1,12";"   0,56";"0,00";"0,00";"0,00";"   0,56";"   1,68";"201801";"16/01/2019 04:16:57"
"UNIMED COSTA VERDE RJ (311146)";"Médico Hospitalar";"Pequeno";"132";"151";"   1,68";"   0,83";"   1,67";"   2,51";"   2,52";"   1,68";"0,00";"0,00";"0,00";"   1,69";"   1,69";"   1,68";"201801";"16/01/2019 04:16:57"
