"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Dez/19";"Nov/19";"Out/19";"Set/19";"Ago/19";"Jul/19";"Jun/19";"Mai/19";"Abr/19";"Mar/19";"Fev/19";"Jan/19";"Competência";"Data de atualização"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL (307319)";"Médico Hospitalar";"Médio";"111";"160";"   1,48";"   1,00";"   1,50";"   1,25";"   1,24";"   0,50";"   1,00";"   0,99";"   1,74";"   1,48";"   2,22";"   1,48";"201901";"13/01/2020 21:44:43"
"DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA. (349682)";"Médico Hospitalar";"Médio";"112";"103";"   1,47";"   2,18";"   2,41";"   2,41";"   2,27";"   1,67";"   1,07";"   1,20";"   2,42";"   2,55";"   2,68";"   1,47";"201901";"13/01/2020 21:44:43"
"NOSSA SAÚDE - OPERADORA PLANOS PRIVADOS DE ASSISTÊNCIA  À SAÚDE LTDA. (372609)";"Médico Hospitalar";"Médio";"113";"75";"   1,43";"   3,29";"   2,86";"   3,55";"   2,91";"   2,95";"   2,29";"   1,39";"   1,40";"   1,18";"   1,90";"   1,43";"201901";"13/01/2020 21:44:43"
"UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA. (304344)";"Médico Hospitalar";"Médio";"114";"167";"   1,43";"   0,92";"   0,93";"   2,32";"   1,86";"   2,34";"   0,94";"   0,95";"   0,48";"   0,95";"   0,95";"   1,43";"201901";"13/01/2020 21:44:43"
"UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MÉDICO (351407)";"Médico Hospitalar";"Médio";"115";"216";"   1,43";"   0,27";"   0,26";"   0,26";"   0,26";"   0,26";"   0,50";"   0,73";"   0,97";"   1,20";"   1,20";"   1,43";"201901";"13/01/2020 21:44:43"
"BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA. (366561)";"Médico Hospitalar";"Médio";"116";"146";"   1,43";"   1,20";"   1,61";"   1,41";"   0,60";"   0,40";"   0,81";"   0,81";"   0,61";"   0,61";"   1,22";"   1,43";"201901";"13/01/2020 21:44:43"
"UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO (309907)";"Médico Hospitalar";"Médio";"117";"199";"   1,42";"   0,57";"   1,13";"   2,25";"   3,10";"   2,80";"   2,52";"   2,80";"   3,65";"   3,38";"   2,54";"   1,42";"201901";"13/01/2020 21:44:43"
"UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MÉDICA LTDA (337374)";"Médico Hospitalar";"Médio";"118";"80";"   1,42";"   3,12";"   3,40";"   3,97";"   3,97";"   3,12";"   3,40";"   2,83";"   3,40";"   2,56";"   1,99";"   1,42";"201901";"13/01/2020 21:44:43"
"UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO (323268)";"Médico Hospitalar";"Médio";"119";"130";"   1,40";"   1,52";"   1,98";"   2,29";"   1,53";"   2,00";"   1,70";"   1,70";"   1,09";"   1,25";"   1,40";"   1,40";"201901";"13/01/2020 21:44:43"
"UNIMED DE BEBEDOURO COOPERATIVA DE TRABALHO MÉDICO (331341)";"Médico Hospitalar";"Médio";"120";"100";"   1,38";"   2,32";"   2,09";"   1,86";"   1,16";"   1,62";"   1,62";"   1,62";"   1,16";"   1,15";"   1,15";"   1,38";"201901";"13/01/2020 21:44:43"
"UNIMED DE ARACATUBA - COOPERATIVA DE TRABALHO MÉDICO (369411)";"Médico Hospitalar";"Médio";"121";"159";"   1,38";"   1,02";"   1,03";"   0,69";"0,00";"0,00";"   0,34";"   0,34";"   0,34";"   0,68";"   1,03";"   1,38";"201901";"13/01/2020 21:44:43"
"UNIMED DE BAURU COOPERATIVA DE TRABALHO MÉDICO (369659)";"Médico Hospitalar";"Médio";"122";"126";"   1,34";"   1,70";"   2,01";"   2,00";"   1,58";"   1,26";"   1,04";"   1,35";"   1,87";"   1,97";"   1,76";"   1,34";"201901";"13/01/2020 21:44:43"
"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL (385697)";"Médico Hospitalar";"Médio";"123";"106";"   1,33";"   2,13";"   2,48";"   1,93";"   3,31";"   3,47";"   3,20";"   2,40";"   2,93";"   2,39";"   2,12";"   1,33";"201901";"13/01/2020 21:44:43"
"UNIMED SETE LAGOAS COOPERATIVA TRABALHO MÉDICO (349534)";"Médico Hospitalar";"Médio";"124";"104";"   1,32";"   2,14";"   1,49";"   1,28";"   0,21";"0,00";"   0,43";"   0,65";"   0,87";"   0,87";"   1,32";"   1,32";"201901";"13/01/2020 21:44:43"
"UNIMED DE PARANAGUÁ COOPERATIVA DE TRABALHO MÉDICO (361615)";"Médico Hospitalar";"Médio";"125";"132";"   1,31";"   1,50";"   1,50";"   0,75";"   0,75";"   0,37";"   0,74";"   1,10";"   1,10";"   0,72";"   0,70";"   1,31";"201901";"13/01/2020 21:44:43"
"PLANO HOSPITAL SAMARITANO LTDA (411256)";"Médico Hospitalar";"Médio";"126";"112";"   1,30";"   1,94";"   1,96";"   2,12";"   2,16";"   1,83";"   0,86";"   1,12";"   1,14";"   1,54";"   0,91";"   1,30";"201901";"13/01/2020 21:44:43"
"ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO (309028)";"Médico Hospitalar";"Médio";"127";"219";"   1,30";"   0,25";"   0,25";"   0,25";"   0,25";"   0,25";"   0,51";"   0,51";"   1,03";"   0,52";"   1,55";"   1,30";"201901";"13/01/2020 21:44:43"
"UNIMED FOZ DO IGUACU COOPERATIVA TRABALHO MEDICO (351792)";"Médico Hospitalar";"Médio";"128";"55";"   1,28";"   4,61";"   3,79";"   2,54";"   2,12";"   3,40";"   1,70";"   2,12";"   1,27";"   1,70";"   1,28";"   1,28";"201901";"13/01/2020 21:44:43"
"MAPFRE SAÚDE LTDA (418951)";"Médico Hospitalar";"Médio";"129";"214";"   1,27";"   0,31";"0,00";"   0,31";"   0,32";"   0,30";"   1,17";"   1,13";"   1,64";"   1,05";"   1,52";"   1,27";"201901";"13/01/2020 21:44:43"
"SANTA RITA SAUDE S/A. (348180)";"Médico Hospitalar";"Médio";"130";"93";"   1,23";"   2,61";"   2,44";"   1,92";"   2,27";"   1,75";"   1,58";"   1,23";"   1,58";"   2,11";"   1,41";"   1,23";"201901";"13/01/2020 21:44:43"
"UNIMED CONSELHEIRO LAFAIETE COOPERATIVA DE TRABALHO MÉDICO LTDA (345709)";"Médico Hospitalar";"Médio";"131";"143";"   1,22";"   1,22";"   1,62";"   1,61";"   2,01";"   1,62";"   0,81";"0,00";"   0,41";"   0,41";"   0,81";"   1,22";"201901";"13/01/2020 21:44:43"
"CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE (316873)";"Médico Hospitalar";"Médio";"132";"170";"   1,22";"   0,88";"   1,31";"   0,86";"   1,28";"   1,70";"   2,10";"   1,66";"   0,41";"   0,82";"   1,22";"   1,22";"201901";"13/01/2020 21:44:43"
