"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Dez/17";"Nov/17";"Out/17";"Set/17";"Ago/17";"Jul/17";"Jun/17";"Mai/17";"Abr/17";"Mar/17";"Fev/17";"Jan/17";"Competência";"Data de atualização"
"PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A (305626)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,56";"   1,57";"   1,58";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"UNIMED ALTO URUGUAI/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (306959)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO MUNICÍPIO DE JOINVILLE - EM LIQUIDAÇÃO EXTRAJUDICIAL (414913)";"Médico Hospitalar";"Pequeno";"186";"92";"0,00";"   2,88";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"UNIMED ILHEUS COOPERATIVA DE TRABALHO MEDICO (347230)";"Médico Hospitalar";"Pequeno";"186";"107";"0,00";"   2,33";"   2,32";"   2,33";"   2,33";"   1,55";"   1,58";"   0,80";"   0,82";"   0,82";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"PREVENT SENIOR CORPORATE OPERADORA DE SAÚDE LTDA. (413267)";"Médico Hospitalar";"Pequeno";"186";"3";"0,00";" 123,80";" 123,63";" 123,46";"  82,30";"  41,15";"  41,04";"  81,86";" 163,04";" 162,60";"  81,08";"0,00";"201701";"05/02/2018 11:09:22"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - APAS SOROCABA/VOTORANTIM (410128)";"Médico Hospitalar";"Pequeno";"186";"142";"0,00";"   1,38";"   1,38";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO (418129)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA (315648)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"SOCIEDADE BENEFICENTE DEZOITO DE JULHO (413721)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,71";"   1,70";"   3,40";"   1,69";"   1,69";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
"VOLVO DO BRASIL VEÍCULOS LTDA. (414247)";"Médico Hospitalar";"Pequeno";"186";"198";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,25";"   1,26";"   1,27";"0,00";"0,00";"201701";"05/02/2018 11:09:22"
