"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Dez/16";"Nov/16";"Out/16";"Set/16";"Ago/16";"Jul/16";"Jun/16";"Mai/16";"Abr/16";"Mar/16";"Fev/16";"Jan/16";"Competência";"Data de atualização"
"SAMIG - SERV. DE ASSISTENCIA MEDICA DA ILHA DO GOVERNADOR LTDA (340162)";"Médico Hospitalar";"Pequeno";"107";"82";"   2,13";"   2,52";"   2,45";"   5,90";"   6,79";"   5,56";"   5,47";"   3,29";"   4,38";"   1,09";"   1,08";"   2,13";"201601";"22/01/2017 02:12:03"
"MASSA FALIDA DE SAÚDE QUALITY LTDA. (367729)";"Médico Hospitalar";"Pequeno";"108";"7";"   2,06";"  32,21";"  30,10";"  21,19";"  16,29";"  16,64";"  16,53";"  15,14";"   7,43";"   3,14";"0,00";"   2,06";"201601";"22/01/2017 02:12:03"
"UNIMED FOZ DO IGUACU COOPERATIVA TRABALHO MEDICO (351792)";"Médico Hospitalar";"Pequeno";"109";"64";"   2,06";"   2,49";"   4,51";"   3,53";"   4,06";"   1,02";"   1,55";"   1,04";"   1,05";"   2,09";"   2,08";"   2,06";"201601";"22/01/2017 02:12:03"
"UNIMED DE ARIQUEMES COOPERATIVA DE TRABALHO MÉDICO (358169)";"Médico Hospitalar";"Pequeno";"110";"171";"   2,03";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,03";"201601";"22/01/2017 02:12:03"
"CEMIL CENTRO MEDICO DE ITU LTDA. (300012)";"Médico Hospitalar";"Pequeno";"111";"171";"   2,03";"0,00";"0,00";"   1,04";"   1,05";"   1,04";"0,00";"0,00";"0,00";"   1,01";"   1,01";"   2,03";"201601";"22/01/2017 02:12:03"
"SANAMED - SAÚDE SANTO ANTONIO LTDA (384585)";"Médico Hospitalar";"Pequeno";"112";"60";"   2,00";"   4,04";"   2,01";"   2,00";"   3,32";"   3,96";"   3,95";"   3,29";"   4,61";"   3,30";"   3,97";"   2,00";"201601";"22/01/2017 02:12:03"
"CAIXA DE ASSISTÊNCIA OSWALDO CRUZ (417548)";"Médico Hospitalar";"Pequeno";"113";"48";"   1,99";"   5,22";"   5,89";"   2,62";"   1,31";"   0,66";"   1,32";"   1,98";"   3,97";"   2,65";"   2,65";"   1,99";"201601";"22/01/2017 02:12:03"
"IRMANDADE DA SANTA CASA DE MISERICORDIA DE VITORIA (378038)";"Médico Hospitalar";"Pequeno";"114";"71";"   1,99";"   3,12";"   4,14";"   5,15";"   7,17";"   5,10";"   3,04";"   1,01";"   1,01";"   1,00";"   2,00";"   1,99";"201601";"22/01/2017 02:12:03"
"MH VIDA - OPERADORA DE PLANOS DE SAÚDE - EIRELI (412015)";"Médico Hospitalar";"Pequeno";"115";"101";"   1,97";"   1,86";"   3,69";"   3,68";"   1,84";"   1,86";"   1,89";"   1,92";"0,00";"0,00";"0,00";"   1,97";"201601";"22/01/2017 02:12:03"
"UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA. (321087)";"Médico Hospitalar";"Pequeno";"116";"73";"   1,95";"   2,98";"   2,97";"   2,96";"   0,98";"   0,98";"0,00";"0,00";"   0,98";"   2,93";"   2,92";"   1,95";"201601";"22/01/2017 02:12:03"
"NOSAMED ASSISTÊNCIA MÉDICA LTDA. (305928)";"Médico Hospitalar";"Pequeno";"117";"96";"   1,94";"   2,04";"   2,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,95";"   1,94";"   1,94";"201601";"22/01/2017 02:12:03"
"ASSOCIAÇAO UNISAUDE MARAU (333867)";"Médico Hospitalar";"Pequeno";"118";"171";"   1,92";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,92";"   1,92";"201601";"22/01/2017 02:12:03"
"MATERMED ASSISTÊNCIA MÉDICA - EIRELI (335801)";"Médico Hospitalar";"Pequeno";"119";"171";"   1,91";"0,00";"0,00";"0,00";"0,00";"0,00";"  10,74";"   8,26";"   5,97";"   4,31";"   2,98";"   1,91";"201601";"22/01/2017 02:12:03"
"CENTRO MÉDICO FÁTIMA LTDA (408883)";"Médico Hospitalar";"Pequeno";"120";"57";"   1,90";"   4,36";"   4,41";"   4,45";"   4,35";"   2,09";"   2,01";"0,00";"0,00";"   1,99";"   1,95";"   1,90";"201601";"22/01/2017 02:12:03"
"MÚTUA DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO (418650)";"Médico Hospitalar";"Pequeno";"121";"171";"   1,89";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,89";"201601";"22/01/2017 02:12:03"
"SANTA LUZIA ASSISTENCIA MEDICA S.A. (358509)";"Médico Hospitalar";"Pequeno";"122";"25";"   1,89";"  10,22";"  10,18";"  12,00";"   9,70";"   7,52";"   5,44";"   1,79";"   1,84";"   1,93";"   1,94";"   1,89";"201601";"22/01/2017 02:12:03"
"PETROBRAS DISTRIBUIDORA S.A. (354571)";"Médico Hospitalar";"Pequeno";"123";"65";"   1,82";"   3,67";"   4,89";"   3,05";"   3,66";"   1,22";"   4,26";"   4,26";"   7,29";"   5,46";"   4,24";"   1,82";"201601";"22/01/2017 02:12:03"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE MOCOCA (308005)";"Médico Hospitalar";"Pequeno";"124";"171";"   1,81";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,81";"201601";"22/01/2017 02:12:03"
"UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA (315648)";"Médico Hospitalar";"Pequeno";"125";"171";"   1,81";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,90";"   0,90";"   1,81";"201601";"22/01/2017 02:12:03"
"UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA (317896)";"Médico Hospitalar";"Pequeno";"60";"148";"   4,43";"   0,76";"0,00";"   1,52";"   1,50";"   1,48";"   1,46";"   2,19";"   3,66";"   2,20";"   5,15";"   4,43";"201601";"22/01/2017 02:12:03"
"UNIAO DE CLINICAS RIO GRANDE LTDA (361852)";"Médico Hospitalar";"Pequeno";"61";"157";"   4,31";"   0,62";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,63";"   4,38";"   4,31";"201601";"22/01/2017 02:12:03"
"GAMA SAUDE LTDA. (407011)";"Médico Hospitalar";"Pequeno";"62";"46";"   4,26";"   5,38";"   4,77";"   3,57";"   3,58";"   3,57";"   2,97";"   1,19";"   2,66";"   2,25";"   5,13";"   4,26";"201601";"22/01/2017 02:12:03"
"FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL (378216)";"Médico Hospitalar";"Pequeno";"63";"91";"   4,17";"   2,19";"   2,17";"   3,24";"   3,22";"   2,14";"   1,06";"   1,06";"   1,06";"   1,05";"0,00";"   4,17";"201601";"22/01/2017 02:12:03"
"UNIMED DAS ESTÂNCIAS PAULISTAS - OPERADORA DE PLANOS DE SAÚDE SOCIEDADE COOPERATIVA - EM LIQUIDAÇÃO EXTRAJUDICIAL (348066)";"Médico Hospitalar";"Pequeno";"64";"41";"   4,16";"   5,66";"  10,28";"  14,82";"  17,38";"  15,37";"  10,70";"   9,66";"  10,38";"   7,67";"   4,21";"   4,16";"201601";"22/01/2017 02:12:03"
"UNIMED PLANALTO - COOPERATIVA DE TRABALHO MÉDICO (310131)";"Médico Hospitalar";"Pequeno";"65";"171";"   4,14";"0,00";"0,00";"0,00";"   2,10";"   2,13";"   2,71";"   1,54";"   1,03";"   1,55";"   1,55";"   4,14";"201601";"22/01/2017 02:12:03"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB (315583)";"Médico Hospitalar";"Pequeno";"66";"94";"   4,03";"   2,11";"   4,19";"   2,08";"   2,08";"0,00";"0,00";"   2,05";"   4,09";"   4,08";"   4,05";"   4,03";"201601";"22/01/2017 02:12:03"
"SOCIAL-SOCIEDADE ASSISTENCIAL E CULTURAL (315630)";"Médico Hospitalar";"Pequeno";"67";"95";"   4,03";"   2,04";"   4,08";"   6,11";"   4,05";"   4,05";"   2,03";"   2,04";"   4,06";"   4,05";"   6,06";"   4,03";"201601";"22/01/2017 02:12:03"
"UNIMED CABO FRIO COOPERATIVA TRABALHO MÉDICO LTDA. (323357)";"Médico Hospitalar";"Pequeno";"68";"44";"   3,94";"   5,44";"   6,80";"   5,43";"   4,05";"   1,34";"   2,65";"   3,95";"   6,54";"   6,57";"   3,94";"   3,94";"201601";"22/01/2017 02:12:03"
"UNIMED RESENDE COOPERATIVA DE TRABALHO MÉDICO (330566)";"Médico Hospitalar";"Pequeno";"69";"117";"   3,93";"   1,36";"   1,37";"   2,75";"   2,05";"   2,71";"   1,35";"   1,33";"   0,66";"   1,96";"   1,96";"   3,93";"201601";"22/01/2017 02:12:03"
"UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO (325082)";"Médico Hospitalar";"Pequeno";"70";"171";"   3,89";"0,00";"   2,63";"   3,94";"   3,92";"   2,59";"   1,29";"   2,58";"   3,88";"   5,16";"   6,47";"   3,89";"201601";"22/01/2017 02:12:03"
"UNIMED CARATINGA - COOPERATIVA DE TRABALHO MÉDICO LTDA (347736)";"Médico Hospitalar";"Pequeno";"71";"69";"   3,78";"   3,28";"   3,26";"   4,91";"   1,65";"   1,68";"0,00";"0,00";"0,00";"   1,83";"   3,72";"   3,78";"201601";"22/01/2017 02:12:03"
"AME PLANOS DE SAÚDE LTDA (401196)";"Médico Hospitalar";"Pequeno";"72";"61";"   3,67";"   4,02";"   2,44";"   1,65";"   0,84";"   0,85";"   0,86";"   2,63";"   3,55";"   3,60";"   1,82";"   3,67";"201601";"22/01/2017 02:12:03"
"COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE LTDA. (406805)";"Médico Hospitalar";"Pequeno";"73";"171";"   3,67";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,65";"   3,67";"201601";"22/01/2017 02:12:03"
"SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A (335614)";"Médico Hospitalar";"Pequeno";"74";"78";"   3,64";"   2,63";"   1,33";"   0,67";"   2,71";"   4,11";"   4,85";"   3,52";"   4,99";"   4,32";"   5,08";"   3,64";"201601";"22/01/2017 02:12:03"
"ATÍVIA SERVIÇOS DE SAÚDE S/A (320510)";"Médico Hospitalar";"Pequeno";"75";"92";"   3,57";"   2,16";"   2,14";"   2,81";"   1,38";"   3,39";"   3,31";"   3,88";"   3,16";"   2,47";"   1,82";"   3,57";"201601";"22/01/2017 02:12:03"
"ASSOCIACAO HOSPITALAR SANTA ROSALIA (408506)";"Médico Hospitalar";"Pequeno";"76";"";"   3,40";"";"";"";"0,00";"0,00";"   6,59";"   4,65";"   4,01";"0,00";"0,00";"   3,40";"201601";"22/01/2017 02:12:03"
"FREE LIFE OPERADORA DE PLANOS DE SAÚDE LTDA (351091)";"Médico Hospitalar";"Pequeno";"77";"50";"   3,38";"   5,15";"   4,21";"   3,78";"   2,81";"   2,30";"   1,17";"   1,18";"   1,20";"   1,25";"   0,65";"   3,38";"201601";"22/01/2017 02:12:03"
"GS PLANO GLOBAL DE SAÚDE LTDA (413160)";"Médico Hospitalar";"Pequeno";"78";"151";"   3,37";"   0,68";"   0,68";"   2,71";"   4,06";"   3,38";"   1,35";"0,00";"   2,04";"   2,71";"   3,38";"   3,37";"201601";"22/01/2017 02:12:03"
"CMI - CLINICA DE MEDICINA INTEGRADA LTDA. (310239)";"Médico Hospitalar";"Pequeno";"79";"171";"   3,32";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,32";"   3,32";"   6,64";"   3,32";"201601";"22/01/2017 02:12:03"
"PLASAC PLANO DE SAÚDE LTDA (306444)";"Médico Hospitalar";"Pequeno";"80";"89";"   3,29";"   2,20";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,30";"   3,30";"   3,29";"201601";"22/01/2017 02:12:03"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE SÃO ROQUE (401137)";"Médico Hospitalar";"Pequeno";"81";"28";"   3,24";"   8,43";"  15,47";"  21,17";"  19,77";"  11,55";"   4,56";"0,00";"0,00";"   1,09";"   1,08";"   3,24";"201601";"22/01/2017 02:12:03"
"ASSOCIAÇÃO DO FISCO DE ALAGOAS (393533)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,77";"   2,76";"   2,76";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"UNIMED DE CIANORTE - COOPERATIVA DE TRABALHO MEDICO  (354627)";"Médico Hospitalar";"Pequeno";"203";"142";"0,00";"   0,86";"   1,73";"   0,87";"   0,88";"0,00";"0,00";"0,00";"   0,90";"   0,90";"   0,90";"0,00";"201601";"22/01/2017 02:12:03"
"ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO MUNICÍPIO DE JOINVILLE - EM LIQUIDAÇÃO EXTRAJUDICIAL (414913)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"SMH - SOCIEDADE MÉDICO HOSPITALAR LTDA (351644)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"EVERCROSS PLANEJAMENTO DE ASSISTÊNCIA MÉDICA LTDA. (410179)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA (317012)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"   0,57";"   0,56";"   0,56";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"BENEPLAN PLANO DE SAÚDE LTDA. (370363)";"Médico Hospitalar";"Pequeno";"203";"";"0,00";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"COMSEDER - COOPERATIVA DE ASSISTÊNCIA MÉDICA DOS SERVIDORES DA SUPLAN E DO DER LTDA (390259)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"COOPERATIVA AGROINDUSTRIAL DO ALEGRETE LTDA (355135)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"UNIMED PIAUI FEDERAÇÃO DAS COOPERATIVAS DE TRABALHO MEDICO DO ESTADO DO PIAUI (416576)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"   1,19";"   1,20";"   1,21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO (303844)";"Médico Hospitalar";"Pequeno";"203";"189";"0,00";"   0,46";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG (315567)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"   1,28";"   1,28";"   3,83";"   2,55";"   3,82";"   1,91";"   3,18";"   1,91";"   1,28";"0,00";"201601";"22/01/2017 02:12:03"
"ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15) (304131)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"VOLVO DO BRASIL VEÍCULOS LTDA. (414247)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA (335754)";"Médico Hospitalar";"Pequeno";"203";"107";"0,00";"   1,63";"   1,63";"   1,63";"   1,63";"   1,63";"   1,63";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"POLICLÍNICA GRAMACHO LTDA - EPP (408581)";"Médico Hospitalar";"Pequeno";"203";"";"0,00";"";"";"";"";"";"";"";"";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS (359122)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"   1,12";"   1,12";"   1,11";"0,00";"0,00";"   1,11";"   1,11";"   1,11";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ (417955)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"PRONTOMEDICO PLANO DE ASSISTENCIA MEDICA LTDA (362182)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"PLAMEDH - PLANO DE ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA (413551)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"ASSOCIAÇÃO PORTUGUESA BENEFICENTE VASCO DA GAMA (346292)";"Médico Hospitalar";"Pequeno";"203";"5";"0,00";"  42,82";"  21,12";"  13,82";"  13,59";"   6,69";"  19,85";"  26,18";"  26,13";"  13,15";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE SANTA RITA PASSA QUATRO (363511)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,54";"   3,53";"   3,52";"0,00";"201601";"22/01/2017 02:12:03"
"UNIMED SANTOS DUMONT SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS LTDA. (362620)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"   2,64";"   2,62";"   2,60";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"ASSOCIAÇÃO BENEFICENTE DE CAMPO GRANDE (306428)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"UNIMED SÃO JOÃO NEPOMUCENO COOPERATIVA DE TRABALHO MÉDICO LTDA. (327638)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,87";"   1,86";"   1,85";"0,00";"201601";"22/01/2017 02:12:03"
"FUNDO DE ASSISTÊNCIA À SAÚDE DOS FUNCIONÁRIOS DO BEC (414689)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"SANTA CASA DE MISERICÓRDIA DE TUPÃ (306045)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
"PLADISA PLANOS DE SAÚDE LTDA (419486)";"Médico Hospitalar";"Pequeno";"203";"171";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,21";"   2,37";"   2,33";"   1,14";"0,00";"0,00";"0,00";"201601";"22/01/2017 02:12:03"
